L_thumb,L_index,L_middle,L_ring,L_pinky,L_wrist,R_thumb,R_index,R_middle,R_ring,R_pinky,R_wrist,label
0.06790299301023256,0.988978423208975,0.0,0.0,0.0,0.02284202584022174,0.0,1.0,0.0,0.0,0.10692921024460705,0.0,2
1.0,1.0,0.9939218648375328,0.9422059716316047,0.9393375370023183,0.0330387448262775,0.9178174385495864,0.9350954446307544,1.0,0.869814662145816,0.9032541327021473,0.06982193242765883,0
0.0,1.0,0.11551881510927076,0.07405331596839712,0.05583529256988454,0.0,0.04028530486057835,0.8612105617930783,0.12484866701049041,0.0,0.09480670194891061,0.03835198839951945,2
0.0,1.0,1.0,0.10518521146937143,0.0,0.0,0.17721250413275563,1.0,1.0,0.0,0.0013321635859944725,0.0,4
1.0,1.0,1.0,1.0,1.0,0.0,0.9672909724881645,0.9997491575040257,1.0,0.9071276203614875,1.0,0.07748510086779342,0
0.09916902365605637,0.0,0.10639999139906728,0.0,0.11581927284321411,0.0,0.0,0.01759864917728174,0.0,0.07320748479374417,0.11547118211038887,0.0,1
1.0,0.04678045849343207,0.0,0.0,0.01517535653065144,0.0,0.9876525699233467,0.0,0.0,0.14306692075619198,0.05637960987302423,0.16539439765387692,3
0.9391645925265665,1.0,0.933968089118276,1.0,0.9514274956664579,0.0,0.9184447132319523,0.8638746780637774,1.0,0.9566899067347777,1.0,0.11461588564700242,0
0.8875643292069343,0.0,0.0,0.0481515606765702,0.0866819694003434,0.0,0.9965110468720629,0.0,0.0,0.0,0.14611514949245974,0.0,3
0.0,0.9261164367436638,0.040547869318434265,0.0,0.0917486538230238,0.07126179963717175,0.022339482200466942,0.8882371129459322,0.0,0.015012955235116227,0.15801236207810715,0.0,2
0.0,1.0,0.047209494651830664,0.0,0.0,0.01588194440745125,0.16975383033599545,0.8795865592180802,0.09026200490698372,0.0,0.10057398245102822,0.0,2
0.08395433294995205,1.0,0.0,0.0,0.0,0.04702932622869321,0.08134470424213158,1.0,0.06419441016599334,0.17585430762942933,0.0,0.16214333559402966,2
0.0,1.0,0.0,0.005539190284428924,0.06774065007149213,0.0,0.0,1.0,0.05074786307153045,0.15950672055788945,0.0,0.15795335856288473,2
1.0,0.0,0.09230045237805751,0.0,0.0,0.0,0.8629085572898871,0.0,0.0,0.0,0.0,0.010223057431750615,3
0.022829121868203656,1.0,1.0,0.11896093656518367,0.0,0.0,0.0,0.9882166509207568,1.0,0.11513294194242002,0.01459812062926824,0.0,4
